ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
MSFT,Systems Software,IBM|AKAM|FFIV|ADBE|ORCL,CRWD|PANW|NOW|FTNT|GEN,GILD|VLTO|CARR|NTAP|PEP,0.6,1.0,0.2,0.08418650793650793,0.07902183600713011,0.0125
MU,Semiconductors,J|XYL|TXN|NVDA|DDOG,NXPI|ON|AMD|TXN|AVGO,OXY|EPAM|AZO|STLD|BAX,0.0,0.0,0.0,0.0,0.0,0.0
NCLH,"Hotels, Resorts & Cruise Lines",TROW|T|AIG|GE|COF,RCL|HLT|MAR|EXPE|BKNG,HLT|GPC|SWK|LIN|PODD,0.0,0.4,0.0,0.0,0.1805263157894737,0.05
NDAQ,Financial Exchanges & Data,WFC|GS|PNC|CEG|FTV,COIN|CME|MSCI|FDS|MCO,XYL|IDXX|TROW|DDOG|APH,0.0,0.2,0.0,0.02222222222222222,0.0,0.0
NOC,Aerospace & Defense,ALLE|AON|PSA|AIG|INTC,GE|TDG|LMT|LHX|HII,AXON|HUBB|FDX|COR|PYPL,0.0,0.4,0.2,0.0,0.26222222222222225,0.02222222222222222
NOW,Systems Software,HPE|ICE|STX|AXON|CRM,MSFT|FTNT|GEN|PANW|CRWD,NRG|LII|ALLE|HRL|FE,0.2,0.2,0.0,0.09465811965811965,0.12352941176470589,0.0
NTAP,"Technology Hardware, Storage & Peripherals",DDOG|DELL|NVDA|ANET|STX,HPE|AAPL|WDC|STX|DELL,EBAY|MRNA|SATS|EIX|INTC,0.0,0.0,0.0,0.26666666666666666,0.1612121212121212,0.09714285714285714
NVDA,Semiconductors,STX|PTC|DDOG|ANET|MU,INTC|MPWR|AMD|TXN|NXPI,PNR|LOW|VRTX|UNH|GD,0.2,0.4,0.0,0.0992929292929293,0.051515151515151514,0.0
NXPI,Semiconductors,AMAT|HWM|LIN|AMD|APTV,AMD|ON|MPWR|MU|NVDA,PLTR|EBAY|LEN|COF|WEC,0.0,0.2,0.0,0.0,0.13333333333333333,0.0
ON,Semiconductors,RSG|CAT|CMI|TYL|POOL,TXN|AVGO|MPWR|SWKS|NVDA,TROW|SATS|SNDK|ALL|JCI,0.0,0.4,0.0,0.0,0.16,0.0
