ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
HUBB,Industrial Machinery & Supplies & Components,TXT|WDC|LHX|CDW|TEL,PNR|PH|SWK|XYL|IEX,RCL|ROK|VLO|IEX|FFIV,0.2,0.0,0.0,0.0,0.0,0.0
HWM,Aerospace & Defense,GPC|ZBH|GPN|INTC|TDG,GE|AXON|NOC|LHX|LMT,IEX|APH|GPC|CAH|APP,0.0,0.0,0.0,0.0,0.0,0.0
ICE,Financial Exchanges & Data,FFIV|SYF|BR|FICO|DELL,MSCI|CME|FDS|NDAQ|COIN,COST|ABT|CIEN|WAT|ADSK,0.0,0.2,0.0,0.0,0.03333333333333333,0.0
IDXX,Health Care Equipment,IEX|MRNA|ECL|TMO|BR,BAX|ABT|EW|BDX|MDT,HD|MO|CI|IR|SBAC,0.0,0.0,0.0,0.0,0.0,0.0
IEX,Industrial Machinery & Supplies & Components,IDXX|AON|ROP|APH|WM,HUBB|PH|SNA|IR|PNR,NKE|ADSK|EMR|AMCR|NOC,0.0,0.2,0.0,0.0,0.0,0.0
INCY,Biotechnology,TECH|VRTX|MRNA|IDXX|COR,GILD|MRNA|VRTX|REGN|ABBV,DG|ECL|AIG|EMR|TER,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Semiconductors,ADSK|AVGO|TEL|XYZ|PTC,NXPI|TXN|MPWR|NVDA|ON,TTWO|CMI|MGM|ROL|VZ,0.2,0.2,0.0,0.025,0.03333333333333333,0.03333333333333333
INTU,Application Software,CRM|CTSH|WDAY|EPAM|GEHC,ADBE|CDNS|PTC|CRM|PLTR,AZO|ES|KEYS|PSKY|VTRS,0.0,0.2,0.0,0.0,0.0,0.0
IQV,Life Sciences Tools & Services,GEHC|PFE|PTC|CRM|EPAM,DHR|A|TMO|WAT|TECH,NVDA|TXN|DG|PH|GLW,0.0,0.0,0.0,0.125,0.0,0.0
IR,Industrial Machinery & Supplies & Components,CARR|DELL|PH|AVGO|AES,XYL|SNA|SWK|HUBB|FTV,SJM|ZBRA|NWS|COP|AMCR,0.0,0.0,0.0,0.0,0.0,0.0
ISRG,Health Care Equipment,ELV|GEHC|BSX|MDT|MCK,EW|PODD|MDT|BDX|IDXX,EXC|UBER|BKR|AKAM|JBHT,0.2,0.2,0.0,0.0,0.2,0.0
JKHY,Transaction & Payment Processing Services,SOLV|ROP|PNC|CPAY|J,FISV|FIS|CPAY|PYPL|V,LULU|EBAY|MPWR|HLT|FDS,0.0,0.2,0.0,0.0,0.0,0.0
KHC,Packaged Foods & Meats,TEL|CARR|PTC|TSN|AVGO,MKC|TSN|MDLZ|HRL|SJM,ON|CEG|CARR|FIX|PG,0.0,0.2,0.0,0.06666666666666667,0.18333333333333332,0.0
LHX,Aerospace & Defense,AVGO|FTV|LMT|RTX|PTC,GD|TXT|GE|HWM|TDG,TER|HPQ|GEV|HD|AMD,0.2,0.2,0.0,0.11168831168831168,0.13055555555555556,0.0
LLY,Pharmaceuticals,BSX|BMY|BAX|ABBV|GILD,ZTS|PFE|BMY|MRK|VTRS,ORCL|HPQ|SNA|HLT|AON,0.0,0.0,0.0,0.0,0.0,0.0
LMT,Aerospace & Defense,GD|AVGO|NOC|RTX|MSI,AXON|LHX|HII|TXT|GD,BMY|FOX|STZ|TROW|TECH,0.6,0.6,0.0,0.1938888888888889,0.2062121212121212,0.0
LNT,Electric Utilities,JCI|NRG|FE|AES|GNRC,FE|EXC|CEG|EVRG|VST,JBHT|CSGP|ICE|LITE|FDS,0.0,0.0,0.0,0.2,0.0,0.0
MA,Transaction & Payment Processing Services,XYZ|V|LMT|GPN|CAG,FIS|GPN|PYPL|JKHY|XYZ,PSKY|GD|ALL|WFC|EG,0.4,0.4,0.0,0.12303030303030302,0.14707070707070707,0.0
MAR,"Hotels, Resorts & Cruise Lines",ABNB|VZ|HST|HLT|SYF,ABNB|BKNG|EXPE|RCL|CCL,MKC|RSG|EIX|NWSA|LMT,0.2,0.0,0.0,0.0,0.0,0.0
MCO,Financial Exchanges & Data,J|STE|DXCM|MSCI|VTRS,ICE|FDS|NDAQ|COIN|MSCI,MO|CDW|CHTR|KEYS|TROW,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Packaged Foods & Meats,CAG|AMCR|SJM|ROP|CEG,SJM|HRL|TSN|KHC|MKC,CHD|KLAC|NWSA|NXPI|GE,0.0,0.2,0.0,0.0,0.0,0.0
MDT,Health Care Equipment,GEHC|VTRS|BSX|ISRG|SOLV,BAX|SYK|STE|ISRG|IDXX,ULTA|T|OXY|CI|MAS,0.2,0.2,0.0,0.0,0.02857142857142857,0.0
