view,year,sector,dominant_theme,dominant_label,dominant_share,n_tickers
behavioral,2021,Real Estate,theme_31,ETR / HLT / AME / WAB,0.5806451612903226,31
behavioral,2021,Utilities,theme_35,INVH / MTB / PNC / AVB,0.5333333333333333,30
behavioral,2022,Communication Services,theme_18,VZ / VST / DECK / GNRC,0.30434782608695654,23
behavioral,2022,Consumer Discretionary,theme_18,VZ / VST / DECK / GNRC,0.4791666666666667,48
behavioral,2022,Consumer Staples,theme_12,OKE / MSI / BKR / DE,0.2857142857142857,35
behavioral,2022,Energy,theme_18,VZ / VST / DECK / GNRC,0.4090909090909091,22
behavioral,2022,Financials,theme_18,VZ / VST / DECK / GNRC,0.5,76
behavioral,2022,Health Care,theme_12,OKE / MSI / BKR / DE,0.32142857142857145,56
behavioral,2022,Industrials,theme_18,VZ / VST / DECK / GNRC,0.4155844155844156,77
behavioral,2022,Information Technology,theme_18,VZ / VST / DECK / GNRC,0.5915492957746479,71
behavioral,2022,Materials,theme_18,VZ / VST / DECK / GNRC,0.5769230769230769,26
behavioral,2022,Real Estate,theme_30,UHS / CTSH / LDOS / HII,0.41935483870967744,31
behavioral,2022,Utilities,theme_12,OKE / MSI / BKR / DE,0.7,30
behavioral,2023,Communication Services,theme_34,AXON / TTD / NCLH / COIN,0.17391304347826086,23
behavioral,2023,Consumer Discretionary,theme_35,INVH / MTB / PNC / AVB,0.10416666666666667,48
behavioral,2023,Consumer Staples,theme_3,L / REG / O / WRB,0.2,35
behavioral,2023,Energy,theme_24,EA / BDX / KDP / PFE,0.22727272727272727,22
behavioral,2023,Financials,theme_10,ROST / BALL / EG / DLR,0.25,76
behavioral,2023,Health Care,theme_35,INVH / MTB / PNC / AVB,0.19298245614035087,57
behavioral,2023,Industrials,theme_10,ROST / BALL / EG / DLR,0.2987012987012987,77
behavioral,2023,Information Technology,theme_10,ROST / BALL / EG / DLR,0.15492957746478872,71
behavioral,2023,Materials,theme_26,KIM / CB / TRV / AEP,0.11538461538461539,26
behavioral,2023,Real Estate,theme_5,MAS / ADI / BA / NTRS,0.22580645161290322,31
behavioral,2023,Utilities,theme_26,KIM / CB / TRV / AEP,0.45161290322580644,31
behavioral,2024,Communication Services,theme_12,OKE / MSI / BKR / DE,0.17391304347826086,23
behavioral,2024,Consumer Discretionary,theme_1,GD / DOC / AWK / JNJ,0.14583333333333334,48
behavioral,2024,Consumer Staples,theme_1,GD / DOC / AWK / JNJ,0.3333333333333333,36
behavioral,2024,Energy,theme_30,UHS / CTSH / LDOS / HII,0.2727272727272727,22
behavioral,2024,Financials,theme_1,GD / DOC / AWK / JNJ,0.25,76
behavioral,2024,Health Care,theme_30,UHS / CTSH / LDOS / HII,0.2631578947368421,57
behavioral,2024,Industrials,theme_1,GD / DOC / AWK / JNJ,0.2948717948717949,78
behavioral,2024,Information Technology,theme_1,GD / DOC / AWK / JNJ,0.14084507042253522,71
behavioral,2024,Materials,theme_1,GD / DOC / AWK / JNJ,0.3076923076923077,26
behavioral,2024,Real Estate,theme_1,GD / DOC / AWK / JNJ,0.5161290322580645,31
behavioral,2024,Utilities,theme_1,GD / DOC / AWK / JNJ,0.5806451612903226,31
behavioral,2025,Communication Services,theme_2,STE / HSIC / AIZ / VLTO,0.13043478260869565,23
behavioral,2025,Consumer Discretionary,theme_18,VZ / VST / DECK / GNRC,0.10416666666666667,48
behavioral,2025,Consumer Staples,theme_1,GD / DOC / AWK / JNJ,0.2222222222222222,36
behavioral,2025,Energy,theme_19,LULU / REGN / IDXX / DXCM,0.18181818181818182,22
behavioral,2025,Financials,theme_24,EA / BDX / KDP / PFE,0.21052631578947367,76
